date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:10:29	90232/90232	---M--	200	added ('OK')	application/font-woff2	etag:%226142c459-16078%22	https://www.bootstrapdash.com/demo/purple-admin-free/assets/fonts/Ubuntu/Ubuntu-Medium.woff2	D:/ASP.NET/Tunga/Tunga/www.bootstrapdash.com/demo/purple-admin-free/assets/fonts/Ubuntu/Ubuntu-Medium.woff2	(from https://www.bootstrapdash.com/demo/purple-admin-free/assets/css/style.css)
09:10:29	271176/271176	---M--	200	added ('OK')	application/octet-stream	etag:%226142c459-42348%22	https://www.bootstrapdash.com/demo/purple-admin-free/assets/fonts/Ubuntu/Ubuntu-Regular.ttf	D:/ASP.NET/Tunga/Tunga/www.bootstrapdash.com/demo/purple-admin-free/assets/fonts/Ubuntu/Ubuntu-Regular.ttf	(from https://www.bootstrapdash.com/demo/purple-admin-free/assets/css/style.css)
09:10:29	118940/118940	---M--	200	added ('OK')	application/font-woff	etag:%226142c459-1d09c%22	https://www.bootstrapdash.com/demo/purple-admin-free/assets/fonts/Ubuntu/Ubuntu-Medium.woff	D:/ASP.NET/Tunga/Tunga/www.bootstrapdash.com/demo/purple-admin-free/assets/fonts/Ubuntu/Ubuntu-Medium.woff	(from https://www.bootstrapdash.com/demo/purple-admin-free/assets/css/style.css)
09:10:30	241770/241770	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226142c459-3b06a%22	https://www.bootstrapdash.com/demo/purple-admin-free/assets/fonts/Ubuntu/Ubuntu-Bold.eot	D:/ASP.NET/Tunga/Tunga/www.bootstrapdash.com/demo/purple-admin-free/assets/fonts/Ubuntu/Ubuntu-Bold.eot	(from https://www.bootstrapdash.com/demo/purple-admin-free/assets/css/style.css)
09:10:30	256604/256604	---M--	200	added ('OK')	application/octet-stream	etag:%226142c459-3ea5c%22	https://www.bootstrapdash.com/demo/purple-admin-free/assets/fonts/Ubuntu/Ubuntu-Medium.ttf	D:/ASP.NET/Tunga/Tunga/www.bootstrapdash.com/demo/purple-admin-free/assets/fonts/Ubuntu/Ubuntu-Medium.ttf	(from https://www.bootstrapdash.com/demo/purple-admin-free/assets/css/style.css)
09:10:30	84400/84400	---M--	200	added ('OK')	application/font-woff2	etag:%226142c459-149b0%22	https://www.bootstrapdash.com/demo/purple-admin-free/assets/fonts/Ubuntu/Ubuntu-Bold.woff2	D:/ASP.NET/Tunga/Tunga/www.bootstrapdash.com/demo/purple-admin-free/assets/fonts/Ubuntu/Ubuntu-Bold.woff2	(from https://www.bootstrapdash.com/demo/purple-admin-free/assets/css/style.css)
09:10:30	111260/111260	---M--	200	added ('OK')	application/font-woff	etag:%226142c459-1b29c%22	https://www.bootstrapdash.com/demo/purple-admin-free/assets/fonts/Ubuntu/Ubuntu-Bold.woff	D:/ASP.NET/Tunga/Tunga/www.bootstrapdash.com/demo/purple-admin-free/assets/fonts/Ubuntu/Ubuntu-Bold.woff	(from https://www.bootstrapdash.com/demo/purple-admin-free/assets/css/style.css)
09:10:31	241620/241620	---M--	200	added ('OK')	application/octet-stream	etag:%226142c459-3afd4%22	https://www.bootstrapdash.com/demo/purple-admin-free/assets/fonts/Ubuntu/Ubuntu-Bold.ttf	D:/ASP.NET/Tunga/Tunga/www.bootstrapdash.com/demo/purple-admin-free/assets/fonts/Ubuntu/Ubuntu-Bold.ttf	(from https://www.bootstrapdash.com/demo/purple-admin-free/assets/css/style.css)
09:10:31	398/398	---MCZ	200	added ('OK')	application/javascript	etag:W/%226142c459-18e%22	https://www.bootstrapdash.com/demo/purple-admin-free/assets/js/file-upload.js	D:/ASP.NET/Tunga/Tunga/www.bootstrapdash.com/demo/purple-admin-free/assets/js/file-upload.js	(from https://www.bootstrapdash.com/demo/purple-admin-free/pages/forms/basic_elements.html)
09:10:31	12304/12304	---MCZ	200	added ('OK')	application/javascript	etag:W/%226142c459-3010%22	https://www.bootstrapdash.com/demo/purple-admin-free/assets/js/chart.js	D:/ASP.NET/Tunga/Tunga/www.bootstrapdash.com/demo/purple-admin-free/assets/js/chart.js	(from https://www.bootstrapdash.com/demo/purple-admin-free/pages/charts/chartjs.html)
09:10:31	2202/2202	---M--	200	added ('OK')	image/png	etag:%226142c459-89a%22	https://www.bootstrapdash.com/demo/purple-admin-free/assets/images/faces-clipart/pic-1.png	D:/ASP.NET/Tunga/Tunga/www.bootstrapdash.com/demo/purple-admin-free/assets/images/faces-clipart/pic-1.png	(from https://www.bootstrapdash.com/demo/purple-admin-free/pages/tables/basic-table.html)
09:10:32	2413/2413	---M--	200	added ('OK')	image/png	etag:%226142c459-96d%22	https://www.bootstrapdash.com/demo/purple-admin-free/assets/images/faces-clipart/pic-2.png	D:/ASP.NET/Tunga/Tunga/www.bootstrapdash.com/demo/purple-admin-free/assets/images/faces-clipart/pic-2.png	(from https://www.bootstrapdash.com/demo/purple-admin-free/pages/tables/basic-table.html)
09:10:32	2353/2353	---M--	200	added ('OK')	image/png	etag:%226142c459-931%22	https://www.bootstrapdash.com/demo/purple-admin-free/assets/images/faces-clipart/pic-3.png	D:/ASP.NET/Tunga/Tunga/www.bootstrapdash.com/demo/purple-admin-free/assets/images/faces-clipart/pic-3.png	(from https://www.bootstrapdash.com/demo/purple-admin-free/pages/tables/basic-table.html)
09:10:32	2154/2154	---M--	200	added ('OK')	image/png	etag:%226142c459-86a%22	https://www.bootstrapdash.com/demo/purple-admin-free/assets/images/faces-clipart/pic-4.png	D:/ASP.NET/Tunga/Tunga/www.bootstrapdash.com/demo/purple-admin-free/assets/images/faces-clipart/pic-4.png	(from https://www.bootstrapdash.com/demo/purple-admin-free/pages/tables/basic-table.html)
